File_Name,P,A,S,L,C
M_PL_060_22.csv,13,31,44,64,0.158808933002481
M_PL_060_23.csv,12,27,39,57,0.175925925925926
M_PL_060_24.csv,14,24,38,46,0.136904761904762
M_PL_061_01.csv,5,12,17,17,0.283333333333333
M_PL_061_02.csv,5,17,22,27,0.317647058823529
M_PL_061_03.csv,6,14,20,24,0.285714285714286
M_PL_061_04.csv,8,14,22,29,0.258928571428571
M_PL_061_05.csv,12,22,34,51,0.193181818181818
M_PL_061_06.csv,11,24,35,58,0.21969696969697
M_PL_061_07.csv,9,23,32,62,0.29951690821256
M_PL_061_08.csv,6,19,25,35,0.307017543859649
M_PL_061_09.csv,6,10,16,15,0.25
M_PL_061_10.csv,5,14,19,20,0.285714285714286
M_PL_061_11.csv,6,12,18,17,0.236111111111111
M_PL_061_12.csv,7,12,19,24,0.285714285714286
M_PL_061_13.csv,7,19,26,39,0.293233082706767
M_PL_061_14.csv,6,11,17,18,0.272727272727273
M_PL_061_15.csv,6,18,24,33,0.305555555555556
M_PL_061_16.csv,8,19,27,41,0.269736842105263
M_PL_061_17.csv,9,13,22,19,0.162393162393162
M_PL_061_18.csv,11,18,29,35,0.176767676767677
M_PL_061_19.csv,11,21,32,44,0.19047619047619
M_PL_061_20.csv,11,14,25,25,0.162337662337662
M_PL_061_21.csv,11,18,29,43,0.217171717171717
M_PL_061_22.csv,10,18,28,28,0.155555555555556
M_PL_061_23.csv,10,26,36,45,0.173076923076923
M_PL_061_24.csv,11,18,29,46,0.232323232323232
M_PL_061_25.csv,5,11,16,21,0.381818181818182
M_PL_061_26.csv,7,13,20,28,0.307692307692308
M_PL_061_27.csv,6,13,19,21,0.269230769230769
M_PL_061_28.csv,8,19,27,36,0.236842105263158
M_PL_061_29.csv,8,18,26,39,0.270833333333333
M_PL_061_30.csv,7,13,20,30,0.32967032967033
M_PL_061_31.csv,5,19,24,35,0.368421052631579
M_PL_061_32.csv,6,18,24,28,0.259259259259259
M_PL_061_33.csv,2,6,8,6,0.5
M_PL_061_34.csv,3,7,10,9,0.428571428571429
M_PL_061_35.csv,9,13,22,19,0.162393162393162
M_PL_061_36.csv,7,17,24,31,0.260504201680672
M_PL_061_37.csv,11,19,30,43,0.205741626794258
M_PL_061_38.csv,10,23,33,49,0.21304347826087
M_PL_061_39.csv,7,23,30,46,0.285714285714286
M_PL_061_40.csv,9,26,35,58,0.247863247863248
M_PL_061_41.csv,4,9,13,11,0.305555555555556
M_PL_061_42.csv,6,11,17,16,0.242424242424242
M_PL_061_43.csv,9,16,25,26,0.180555555555556
M_PL_061_44.csv,10,11,21,23,0.209090909090909
M_PL_061_45.csv,11,23,34,50,0.197628458498024
M_PL_061_46.csv,13,21,34,45,0.164835164835165
M_PL_061_47.csv,9,26,35,57,0.243589743589744
M_PL_061_48.csv,9,14,23,32,0.253968253968254
M_PL_062.csv,456,1044,1500,15255,0.0320440108892922
M_PL_063.csv,55,9,64,123,0.248484848484848
M_PL_064.csv,14,8,22,32,0.285714285714286
M_PL_065.csv,21,5,26,44,0.419047619047619
M_PL_066.csv,31,5,36,73,0.470967741935484
M_PL_067.csv,31,5,36,59,0.380645161290323
M_PL_068.csv,31,9,40,83,0.297491039426523
M_PL_069_01.csv,18,6,24,29,0.268518518518519
M_PL_069_02.csv,10,4,14,16,0.4
M_PL_069_03.csv,7,4,11,15,0.535714285714286
M_PL_070.csv,8,8,16,41,0.640625
M_PL_071.csv,44,8,52,89,0.252840909090909
M_PL_072_01.csv,39,67,106,188,0.0719479525449675
M_PL_072_02.csv,33,63,96,171,0.0822510822510823
M_PL_072_03.csv,38,79,117,241,0.0802798134576949
M_PL_072_04.csv,25,69,94,192,0.111304347826087
M_PL_072_05.csv,17,67,84,138,0.121158911325724
M_PL_072_06.csv,36,58,94,175,0.0838122605363985
M_PL_072_07.csv,24,58,82,171,0.122844827586207
M_PL_072_08.csv,33,61,94,191,0.094883258817685
M_PL_072_09.csv,28,48,76,132,0.0982142857142857
M_PL_072_10.csv,22,66,88,168,0.115702479338843
M_PL_072_11.csv,34,74,108,243,0.0965818759936407
M_PL_072_12.csv,34,68,102,228,0.0986159169550173
M_PL_073.csv,30,42,72,157,0.124603174603175
M_PL_074_01.csv,65,19,84,191,0.154655870445344
M_PL_074_02.csv,49,20,69,196,0.2
M_PL_074_03.csv,46,15,61,267,0.38695652173913
M_PL_074_04.csv,57,9,66,187,0.364522417153996
M_PL_074_05.csv,29,14,43,101,0.248768472906404
M_PL_074_06.csv,29,15,44,89,0.204597701149425
M_PL_074_07.csv,40,11,51,67,0.152272727272727
M_PL_074_08.csv,42,12,54,98,0.194444444444444
M_PL_074_09.csv,50,9,59,93,0.206666666666667
M_PL_074_10.csv,35,12,47,81,0.192857142857143
M_PL_074_11.csv,23,16,39,123,0.334239130434783
M_PL_074_12.csv,26,12,38,45,0.144230769230769
M_PL_074_13.csv,28,11,39,80,0.25974025974026
M_PL_074_14.csv,28,11,39,49,0.159090909090909
M_PL_074_15.csv,25,9,34,38,0.168888888888889
M_PL_074_16.csv,23,13,36,93,0.311036789297659
