matID P A S S_category C NODFst N_lowHigh mdegree mfitness0 mfitness1 mEffective_deg0 mEffective_deg1 wdegree0 wdegree1 mpredicted_abund0 mpredicted_abund1 mabund0 mabund1 mR0 mR1 mwasigma0 mwasigma1 msigma_c0 msigma_c1 mGamma0 mGamma1 sVisits_perP0 sVisits_perP1 mPollenDep_perP0 mPollenDep_perP1 mSeedProd_perP0 mSeedProd_perP1 mmort_recruit0 mmort_recruit1 PersYoN0 PersYoN1 mOmega0 mOmega1 mrho0 mrho1 mfitness_diff0 mfitness_diff1 fPersP0 fPersP1 criterion_check0 criterion_check1
1 10 34 44 1 0.19118 0.87783 1 6.5 5.7874508803207 7.18225268136486 5.47681011353317 4.00023855661198 3.4 3.39999999999991 0.609356227957478+0i 0.582760401987888 0.60765836181891 0.582510816430104 0.0153078448124342 0.0125005414465834 0.47843476962285 0.801922447106131 0.0145868159498276 0.0164743360199876 0.0585334061189712 0.0015650788567548 19.1590413223033 22.9938494514513 10.319114435518 16.7879913308413 7.98024375927164 13.7027899164228 6.39829710429326 13.7027721548699 5.63501215361861 6.76289689748691 0.344134268527805 0.0899502246096349 0.051822785566239 0.0506202417739862 28.1979397439234 1.00962493847804 0.8 1 1 1
2 11 36 47 1 0.33586 0.28283 1 12.0909090909091 6.63104446170151 6.50700713476704 8.7530428369733 6.58028038340025 3.27272727272727 3.27272727273008 0.546198995570095+0i 0.551424845279975 0.544092305768923 0.550271505672516 0.0131287855623191 0.0125006992721324 0.372969220487081 0.630452620982429 0.0179392449011424 0.0179868542274987 0.00504008118428815 0.00255868136702022 20.704322057896 21.3272105456397 5.93557339069431 10.1594344481285 4.75511381695494 8.06833028744187 4.75518054845734 8.06833022211675 6.32632062880154 6.51664766671787 0.19497236233764 0.162381214671006 0.0509448706651623 0.0489070737728413 1.06341765556356 1.00700616251576 1 1 1 1
3 12 29 41 1 0.24138 0.5594 1 7 5.43245601578751 7.02332895551834 5.12662165310084 3.44302861513884 2.41666666666667 2.41666666666753 0.592062576360651+0i 0.554335103044773 0.591009198499258 0.553636923658129 0.0132051281442934 0.0125006401575203 0.460539905961831 0.793403158361252 0.0165216118068142 0.0179370680926112 0.0667008282099583 0.00178302655702225 17.214395903014 22.3231087692558 9.22633190320092 14.7246924561829 7.44496603980338 11.7118308190092 5.60334036753168 11.711831052741 7.12319830469544 9.23714845621639 0.182049241290881 0.0642367683891039 0.0517508294593875 0.0521026108633123 20.397222283046 1.02012434982092 0.75 1 1 1
4 10 37 47 1 0.3027 0.079279 0 11.2 6.98046188414024 7.26479577504173 8.38521373742193 7.61317649486644 3.7 3.7000000000025 0.561360762803121+0i 0.575973181415452 0.560320285398633 0.574843866910571 0.0125305346044876 0.0125003859674983 0.592996832305524 0.652535364365142 0.0159332325281828 0.0161833615968475 0.00263407420334057 0.00233200954007995 21.7270112206998 22.865699246833 10.2702647585718 11.9500826403176 8.32416039676375 9.81287117435913 8.32417051504817 9.81286832157623 5.87216519478373 6.17991871535735 0.22061300663636 0.200137224810764 0.048741160166772 0.0493714005282931 1.01754386527934 1.0296319243856 1 1 1 1
5 12 35 47 1 0.2381 0.30292 1 8.33333333333333 6.12973266438508 6.79437656172027 5.65192453031091 4.54101197868508 2.91666666666667 2.9166666666679 0.544784114961278+0i 0.542533840720452 0.543774801761017 0.541792950490198 0.012713282796014 0.0125006944522239 0.622442640486086 0.790709325639052 0.0178874286874389 0.0184106665631437 0.0233223077994889 0.00189865917351337 19.8433933742577 21.1725107617446 10.9516365776296 14.1201750540365 8.59725522864307 11.3088530663385 7.88752958592181 11.3088530663993 6.80344915688837 7.25914654688072 0.150586771966358 0.0997509192276209 0.049317579190303 0.051008195508269 6.20150501806983 1.01448921527375 0.916666666666667 1 1 1
6 10 26 36 1 0.21538 0.31318 1 5.6 5.86528108602679 7.50377429455527 4.25569486616582 3.22738212739407 2.6 2.59999999999895 0.591354526580627+0i 0.580238711841836 0.590888744671979 0.579860666769018 0.0128107624576461 0.0125003516639217 0.653760540548686 0.868106820877244 0.0146283124555363 0.0151695537286395 0.0554585535096679 0.00140113061193664 18.7804816910209 23.5127864610607 13.856928223528 18.0209640191786 10.8325375310382 14.7669947155 8.68091773578062 14.767117117658 7.22326218885418 9.04337940810453 0.140563321549856 0.0517670413904946 0.0477956097832623 0.0473057338499835 18.0636098425622 1.01214979874342 0.8 1 1 1
7 12 35 47 1 0.27381 0.168 0 9.58333333333333 6.63384700766769 7.19374300827776 6.47309926149606 5.55560697738753 2.91666666666667 2.91666666666904 0.551079660417567+0i 0.536835003120972 0.550125200470233 0.535906524777916 0.0126652763202903 0.0125008257511132 0.605198994377959 0.675818945976906 0.0168935411849266 0.0175010833003082 0.0238045597390883 0.00227434396367793 20.2877759554603 21.86266045106 10.7937497423753 11.5789982872561 8.61850397978531 9.60663852371136 7.9066818246339 9.60663850938718 6.95580889901496 7.49576929749995 0.149346383670208 0.110040079090018 0.051297284349694 0.0509338115732618 2.02410201899452 1.00501918728562 0.916666666666667 1 1 1
8 9 36 45 1 0.2963 0.31552 1 10.6666666666667 6.08987685743028 7.2815990656171 7.9561206070567 6.25116720793718 4 3.99999999999608 0.615838000304845+0i 0.593820922028476 0.615226282036611 0.593229606304479 0.0125819882512926 0.0125003943024642 0.6505031673043 0.789268500234018 0.0125772650387001 0.0151129998872337 0.0701635374766927 0.00161435012053984 18.9888479229049 23.2509490701432 13.0921062414074 15.6004604994663 10.4627142137245 12.45992412601 8.15168496555943 12.4599174252604 4.74721198072622 5.81273726753715 0.412801193019414 0.192496449722056 0.0496132306140734 0.0508774289515368 15.8283278591239 1.01850854796692 0.777777777777778 1 1 1
9 12 11 23 1 0.18939 0.70975 1 2.08333333333333 4.17537709307099 5.34772063215906 1.60286012331921 1.43449305687868 0.916666666666667 0.916666666666887 0.6485153500391+0i 0.603294981856096 0.64841018386736 0.603180505511321 0.00752819060884118 0.0125001583472757 0.817698709842042 0.834777801518933 0.0126081100960528 0.0144294108489135 0.150945451061364 0.0958547583996351 12.910109831865 16.4615945181043 20.4649644163397 19.3805451168338 16.7454134574151 15.370410494246 8.40563242233095 10.2708794772779 14.0837561802163 17.9581031106148 0.0775297056762209 0.0262294117271284 0.0459057409805181 0.0516386039986621 -148.666843200575 -98.0160261545124 0.5 0.666666666666667 1 1
10 11 25 36 1 0.30182 0.37024 1 7.54545454545455 5.68149597683401 7.13392499091508 4.84002540340994 3.7207082572534 2.27272727272727 2.27272727272762 0.573352164601698+0i 0.559780188681256 0.572388210079793 0.558922993243591 0.0131396564459098 0.0125003990289856 0.602442097203946 0.724219066962739 0.0160731770188525 0.0163130111897529 0.0498820437901816 0.00202250746629737 18.4940444007808 22.3007903335584 11.5075447748743 12.7717351525355 9.0894173991981 10.5300314533925 7.45163264439696 10.529952346789 8.13737953634354 9.81234774676195 0.149899327988298 0.077711418015029 0.0492159593443683 0.0491261314942637 5.61905842132724 1.01489741456352 0.818181818181818 1 1 1
